,number,position,term,ward,district,candidates,candidate_count,party
1,3,commissioner,4,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3,"['Democratic', 'Republican', 'Republican']"
5,1,tax collector,,,ASPINWALL,['Dawn E. Eastley'],1,['Democratic']
8,1,mayor,,,AVALON,"['Thomas R Lloyd, Jr.']",1,['Democratic']
14,1,mayor,,,BALDWIN BOROUGH,['David M. Depretis'],1,['Democratic']
15,1,tax collector,,,BALDWIN BOROUGH,['Gail Dobson Mikush'],1,['Democratic']
17,1,constable,,,BALDWIN BOROUGH,['James D. Hagan'],1,['Democratic']
19,2,commissioner,,,BALDWIN TOWNSHIP,"['Eileen Frisoli', 'Robert F. Downey Jr.']",2,"['Democratic', 'Democratic']"
21,1,mayor,,,BELL ACRES,['Kenneth L. Alvania'],1,['Democratic']
22,1,tax collector,,,BELL ACRES,['Gregory Cooper'],1,['Republican']
24,1,constable,,,BELL ACRES,['Robert A. Marek'],1,['Republican']
26,1,tax collector,,,BELLEVUE,['Joseph Nolan'],1,['Republican']
32,1,mayor,,,BEN AVON,['Melanie Hughes-Holcomb'],1,['Democratic']
34,4,member of council,,,BEN AVON,"['Tavia Washington', 'Jim Thornton', 'Jennifer A. Bett', 'Russell Kuehner']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
35,1,constable,,,BEN AVON,['Richard L. White'],1,['Democratic']
36,1,mayor,,,BEN AVON HEIGHTS,['Scott Dismukes'],1,['Republican']
40,1,mayor,,,BETHEL PARK,['Jack Allen'],1,['Republican']
43,1,mayor,,,BLAWNOX,['Anthony W. Gross'],1,['Democratic']
45,4,member of council,,,BLAWNOX,"['Randall R. Stoddard', 'Meghan Kennedy', 'Jessica A. Dayhoff', 'Deborah E. Laskey']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
47,1,mayor,,,BRACKENRIDGE,['Thomas L. Kish'],1,['Democratic']
48,1,tax collector,,,BRACKENRIDGE,['Melinda Cattley'],1,['Democratic']
51,1,mayor,,,BRADDOCK,['Delia  Lennon Winstead'],1,['Democratic']
55,1,mayor,,,BRADDOCK HILLS,"['John E. Brown, Jr.']",1,['Democratic']
56,1,tax collector,,,BRADDOCK HILLS,['Betty Ann Horvath'],1,['Democratic']
63,1,tax collector,,,BRENTWOOD,['Fay K. Boland'],1,['Democratic']
65,1,constable,,,BRENTWOOD,['Donald Makowski'],1,['Democratic']
66,1,mayor,,,BRIDGEVILLE,['Betty L. Copeland'],1,['Democratic']
67,1,tax collector,,,BRIDGEVILLE,['Anne Marie Parisi'],1,['Democratic']
69,1,constable,,,BRIDGEVILLE,['Walter L. Johns'],1,['Democratic']
70,1,mayor,,,CARNEGIE,['Stacie L. Riley'],1,['Republican']
75,1,mayor,,,CASTLE SHANNON,['Donald J. Baumgarten'],1,['Democratic']
76,1,tax collector,,,CASTLE SHANNON,"[""Eileen L. O'malley""]",1,['Democratic']
79,1,mayor,,,CHALFANT,['James S. Perry'],1,['Democratic']
80,1,tax collector,,,CHALFANT,['Carol A. Donahue'],1,['Republican']
81,4,member of council,4,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
84,1,mayor,,,CHESWICK,['Dan Carroll'],1,['Republican']
85,1,tax collector,,,CHESWICK,['Louise Parkhill'],1,['Democratic']
87,1,constable,,,CHESWICK,['Richard K. Franks'],1,['Republican']
88,1,mayor,,,CHURCHILL,['Paul G. Gamrat'],1,['Democratic']
89,1,tax collector,,,CHURCHILL,['Danielle Weaver'],1,['Democratic']
92,1,constable,,,CHURCHILL,['Daniel J. Paull'],1,['Democratic']
100,1,tax collector,,,CORAOPOLIS,['David Falcione'],1,['Democratic']
107,1,constable,,,CRAFTON,['James J. Bragano'],1,['Democratic']
108,1,tax collector,,,CRESCENT,['Morgan Withee'],1,['Republican']
112,1,mayor,,,DORMONT,['Jason Walsh'],1,['Democratic']
116,1,mayor,,,DRAVOSBURG,['Kevin R. McKelvey'],1,['Democratic']
117,1,tax collector,,,DRAVOSBURG,['Charles Gross'],1,['Democratic']
118,3,member of council,,,DRAVOSBURG,"['William Snodgrass Jr.', 'Jay E. McKelvey', 'John R. Palcsey']",3,"['Democratic', 'Democratic', 'Democratic']"
119,1,constable,,,DRAVOSBURG,['Paul Eagle'],1,['Democratic']
124,1,tax collector,,,EAST DEER,['Bernadette Paulovich'],1,['Democratic']
125,1,auditor,,,EAST DEER,['Jennifer Savka'],1,['Democratic']
128,1,mayor,,,EAST MCKEESPORT,['Robert P. Howard'],1,['Democratic']
129,1,tax collector,,,EAST MCKEESPORT,['Robert Ferrainolo'],1,['Democratic']
130,4,member of council,,,EAST MCKEESPORT,"['John Ekiert', 'Peter A. McGinty', 'Lynn Rosenbayger Brown', 'Linda Nolan']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
133,1,tax collector,,,EAST PITTSBURGH,['Patrick J. Geric'],1,['Democratic']
136,1,mayor,,,EDGEWOOD,"[""Ryan O'Donnell""]",1,['Democratic']
141,1,mayor,,,EDGEWORTH,['Gary L. Smith'],1,['Republican']
142,1,tax collector,,,EDGEWORTH,['Chris Blazak'],1,['Republican']
143,4,member of council,,,EDGEWORTH,"['Katherine Larsen', 'Joseph T. Hoepp', 'Daniel S. Wilson', 'Ivan T. Hofmann']",4,"['Republican', 'Republican', 'Republican', 'Republican']"
145,1,mayor,,,ELIZABETH BOROUGH,['Barry G. Boucher'],1,['Democratic']
146,1,tax collector,,,ELIZABETH BOROUGH,['Robin Schmidt'],1,['Democratic']
149,1,tax collector,,,ELIZABETH TOWNSHIP,['Mary E. Walos'],1,['Republican']
155,1,constable,,,EMSWORTH,['Sam Kochefski'],1,['Republican']
156,1,mayor,,,ETNA,['Thomas J. Rengers'],1,['Democratic']
157,1,tax collector,,,ETNA,['Karen Tomaszewski'],1,['Democratic']
161,1,tax collector,,,FAWN,['Margaret Hunkele'],1,['Republican']
166,1,auditor,,,FINDLAY,['Kimberly Sue Henry'],1,['Republican']
167,1,supervisor,,,FINDLAY,['Thomas J. Gallant'],1,['Republican']
168,1,constable,,,FINDLAY,"['William Edward Peterson, Jr.']",1,['Republican']
169,1,mayor,,,FOREST HILLS,['Frank Porko'],1,['Democratic']
172,1,constable,,,FOREST HILLS,['Nataia Malloy'],1,['Democratic']
173,1,tax collector,,,FORWARD,['William Firczak'],1,['Democratic']
179,1,mayor,,,FOX CHAPEL,"['Walter A. Scott, III']",1,['Republican']
182,1,constable,,,FOX CHAPEL,['Nelson L. Person'],1,['Republican']
184,1,tax collector,,,FRANKLIN PARK,['Kristin L. Losco'],1,['Republican']
187,1,tax collector,,,FRAZER,['Debra L. Bajack'],1,['Democratic']
188,1,auditor,,,FRAZER,['David E. Elkin'],1,['Democratic']
189,1,supervisor,,,FRAZER,['Willliam J. Creevey'],1,['Democratic']
192,1,tax collector,,,GLASSPORT,['Jennifer Bell'],1,['Democratic']
195,1,mayor,,,GLEN OSBORNE,['Barbara M. Carrier'],1,['Democratic']
206,1,mayor,,,GREEN TREE,['Edward A. Scheneck'],1,['Democratic']
212,1,tax collector,,,HARMAR,['James R. DiPalma'],1,['Republican']
217,1,constable,,,HARMAR,['Eric McCall'],1,['Democratic']
218,1,tax collector,,,HARRISON,['Michael D. McKechnie'],1,['Democratic']
226,1,mayor,,,HEIDELBERG,['Kenneth A. Lasota'],1,['Democratic']
231,1,tax collector,,,HOMESTEAD,['Alice Paylor-Dais'],1,['Democratic']
236,1,tax collector,,,INDIANA,['Julie Leventry'],1,['Democratic']
241,1,constable,,,INDIANA,['David C. Allison'],1,['Democratic']
242,1,mayor,,,INGRAM,['Sharon Stetz'],1,['Democratic']
244,4,member of council,,,INGRAM,"['Greg Butler', 'Karen L. Dixon', 'Susan Radzanowski', 'Richard Nucci']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
249,1,constable,,,JEFFERSON HILLS,['Dale Withers'],1,['Democratic']
250,1,tax collector,,,KENNEDY,['Melvin Weinstein'],1,['Democratic']
256,1,supervisor,,,KILBUCK,['Thomas R. Tomaro'],1,['Republican']
258,1,tax collector,,,LEET,['Nicole Sigmund'],1,['Democratic']
265,1,mayor,,,LIBERTY,['S. Larry Sikorski'],1,['Democratic']
266,1,tax collector,,,LIBERTY,['Shelly Aquilante'],1,['Democratic']
267,4,member of council,,,LIBERTY,"['Luke Riley', 'Timothy W. Sloss', 'Michael Matlos', 'Elizabeth Lape']",4,"['Democratic', 'Democratic', 'Democratic', 'Republican']"
269,1,mayor,,,LINCOLN,['James Joseph Beisler'],1,['Republican']
270,1,tax collector,,,LINCOLN,['Sharon Lynn Jageman'],1,['Democratic']
272,1,constable,,,LINCOLN,['Jozef A. Turcan'],1,['Republican']
273,1,tax collector,,,MARSHALL,['Charles Carey'],1,['Republican']
274,1,auditor,,,MARSHALL,['Earl V. Bragunier'],1,['Republican']
275,2,supervisor,,,MARSHALL,"['Thomas J. Madigan', 'Robert Edwards']",2,"['Republican', 'Republican']"
276,1,constable,,,MARSHALL,['Earl V. Bragunier'],1,['Republican']
279,1,controller,,,MCKEESPORT,['Ryan Sturgess'],1,['Democratic']
280,3,member of council,,,MCKEESPORT,"['Brian Evans', 'Jill Brewster-Lape', 'Jim Barry']",3,"['Democratic', 'Democratic', 'Democratic']"
284,1,controller,,,MCKEES ROCKS,['William C. Beck'],1,['Republican']
288,1,mayor,,,MILLVALE,['Brian Spoales'],1,['Democratic']
289,1,tax collector,,,MILLVALE,['J. Scott Davis'],1,['Democratic']
290,3,member of council,,,MILLVALE,"['James A. Machajewski, Jr.', 'Albert Atkinson', 'John W. Varley']",3,"['Democratic', 'Democratic', 'Democratic']"
291,1,constable,,,MILLVALE,['Frank Albert'],1,['Democratic']
292,1,mayor,,,MONROEVILLE,['Nicholas J. Gresock'],1,['Democratic']
293,1,tax collector,,,MONROEVILLE,['Patrick J. Fulkerson'],1,['Democratic']
297,1,auditor,,,MOON,['Michael A. Dandrea'],1,['Republican']
300,1,constable,,,MOON,['Perry Miller'],1,['Republican']
301,1,treasurer,,,MOUNT LEBANON,['Joseph Senko'],1,['Democratic']
305,1,tax collector,,,MOUNT OLIVER,['Tina M. Carcia'],1,['Democratic']
307,1,constable,,,MOUNT OLIVER,['A.P.  Malloy'],1,['Democratic']
308,1,mayor,,,MUNHALL,['Rob Falce'],1,['Democratic']
309,1,tax collector,,,MUNHALL,['Donna J. Mercuri'],1,['Democratic']
311,1,constable,,,MUNHALL,['John Craycraft'],1,['Democratic']
317,1,tax collector,,,NORTH BRADDOCK,['Kathleen M. Evanchec'],1,['Democratic']
321,1,tax collector,,,NORTH FAYETTE,['Thomas J. Falcioni'],1,['Democratic']
324,1,constable,,,NORTH FAYETTE,['William B. Osterritter'],1,['Republican']
325,1,tax collector,,,NORTH VERSAILLES,['Mary Ann Fetsick'],1,['Democratic']
329,1,tax collector,,,OAKDALE,['Dawn Ostrander'],1,['Democratic']
330,2,member of council,,,OAKDALE,"['William J. Hartman, Jr.', 'Albert Pifer']",2,"['Democratic', 'Democratic']"
331,1,constable,,,OAKDALE,['Lyle Grover'],1,['Republican']
340,1,tax collector,,,OHIO,['Kristen A. Pontello'],1,['Republican']
341,1,supervisor,,,OHIO,['Robert H. Huffmyer'],1,['Democratic']
344,2,constable,,,PENN HILLS,"['Scott Buzzard', 'Louis J. Leon']",2,"['Democratic', 'Democratic']"
345,1,mayor,,,PENNSBURY VILLAGE,['Lucy A. Harper'],1,['Democratic']
346,1,tax collector,,,PENNSBURY VILLAGE,['Patricia E. Notaro'],1,['Democratic']
350,2,supervisor,,,PINE,"['Albert Villanueva', 'Audrey Mackie']",2,"['Democratic', 'Republican']"
353,1,tax collector,,,PITCAIRN,['Sally DiRobbio'],1,['Democratic']
355,1,constable,,,PITCAIRN,['Todd David Cain'],1,['Democratic']
356,1,mayor,,,PLEASANT HILLS,['William Donald Trimbath'],1,['Republican']
357,1,tax collector,,,PLEASANT HILLS,['Linda J. Fancsali'],1,['Republican']
359,1,constable,,,PLEASANT HILLS,['Derek Schmotzer'],1,['Republican']
361,1,tax collector,,,PLUM,['Lisa A. Lagnese'],1,['Republican']
364,1,mayor,,,PORT VUE,['Brien A. Hranics'],1,['Democratic']
365,1,tax collector,,,PORT VUE,['Kenneth J. Hresko'],1,['Democratic']
368,1,constable,,,PORT VUE,"['John J. Borkowski, Jr.']",1,['Democratic']
369,1,mayor,,,RANKIN,['Joelisa L. McDonald'],1,['Democratic']
370,1,tax collector,,,RANKIN,['Sheila L. Miles'],1,['Democratic']
376,2,constable,,,RESERVE,"['Paul A. Yuretich', 'William Crowell, Sr.']",2,"['Democratic', 'Democratic']"
379,1,tax collector,,,ROBINSON,['Michael Pendel'],1,['Democratic']
382,1,tax collector,,,ROSS,['Matthew Mager'],1,['Democratic']
384,2,constable,,,ROSS,"['Leonard Anderson', 'Douglas Renzelman']",2,"['Democratic', 'Democratic']"
385,1,mayor,,,ROSSLYN FARMS,['Isabel Ford'],1,['Republican']
387,4,member of council,,,ROSSLYN FARMS,"['Leanora Griffin', 'Jonathan Glance', 'Barbara Becker', 'David Robb']",4,"['Democratic', 'Democratic', 'Republican', 'Republican']"
388,1,constable,,,ROSSLYN FARMS,['Charles Arcoletti'],1,['Republican']
389,1,tax collector,,,SCOTT,['Lisa Riley'],1,['Democratic']
392,2,constable,,,SCOTT,"['Joe Riley', 'Bradley Skees']",2,"['Democratic', 'Democratic']"
393,1,mayor,,,SEWICKLEY,['George Shandon'],1,['Democratic']
399,1,mayor,,,SEWICKLEY HEIGHTS,['John Oliver'],1,['Republican']
401,4,member of council,,,SEWICKLEY HEIGHTS,"['Craig Kinney', 'Phil Hundley', 'Tom Pangburn', 'Carey Sirianni']",4,"['Republican', 'Republican', 'Republican', 'Republican']"
404,1,tax collector,,,SEWICKLEY HILLS,['Douglas Nolfi'],1,['Democratic']
407,1,tax collector,,,SHALER,['Erin C. Bartkins'],1,['Republican']
409,2,constable,,,SHALER,"['Edward Stankovic', 'Gary John Cutenese']",2,"['Democratic', 'Republican']"
411,1,tax collector,,,SHARPSBURG,['Patricia Hyatt'],1,['Democratic']
415,1,tax collector,,,SOUTH FAYETTE,['Kevin P. Biber'],1,['Democratic']
416,1,commissioner,,,SOUTH FAYETTE,['Rabecca M. Sray'],1,['Democratic']
417,2,constable,,,SOUTH FAYETTE,"['Mark A. Lyons', 'Robert D. Craig']",2,"['Republican', 'Republican']"
421,1,constable,,,SOUTH PARK,['Edmund J. Guzek'],1,['Republican']
422,1,tax collector,,,SOUTH VERSAILLES,['Sherry Kahler'],1,['Republican']
426,1,tax collector,,,SPRINGDALE BOROUGH,['Deborah Sigmund'],1,['Democratic']
427,4,member of council,,,SPRINGDALE BOROUGH,"['Michael Ziencik', 'Eileen  Miller', 'Brittni Lee Bair', 'Jason Overly']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
433,2,commissioner,,,STOWE,"['Darrell K. Chestnut, III', 'Louis F. Robin Parrilla']",2,"['Democratic', 'Democratic']"
436,1,tax collector,,,SWISSVALE,['Thomas Barr'],1,['Democratic']
438,1,constable,,,SWISSVALE,['Francis Keyes'],1,['Democratic']
440,1,tax collector,,,TARENTUM,['Karen Marietti'],1,['Democratic']
444,1,mayor,,,THORNBURG,['Thomas M. Mackin Sr.'],1,['Democratic']
449,1,tax collector,,,TURTLE CREEK,['Richard T. Smith'],1,['Democratic']
456,1,mayor,,,VERONA,['David P. Ricupero'],1,['Democratic']
460,1,mayor,,,VERSAILLES,['James J. Fleckenstein'],1,['Democratic']
461,1,tax collector,,,VERSAILLES,['Melanie D. Beresford'],1,['Republican']
462,4,member of council,4,,VERSAILLES,"['Lisa Fleckenstein', 'Mike Kisan', 'Linda R. Sheedy', 'Christine M. Van Tol']",4,"['Democratic', 'Democratic', 'Democratic', 'Republican']"
468,1,constable,,,WALL,['Dennis M. Dopirak'],1,['Democratic']
469,1,tax collector,,,WEST DEER,['Dorothy J. Bonovitz'],1,['Republican']
475,1,constable,,,WEST DEER,['Albert M. Dancisin'],1,['Democratic']
477,1,tax collector,,,WEST ELIZABETH,['Robert N. Welty'],1,['Democratic']
482,1,tax collector,,,WEST HOMESTEAD,['Lisa Guckes'],1,['Democratic']
487,1,tax collector,,,WEST MIFFLIN,['Jonathan Hess'],1,['Democratic']
489,1,constable,,,WEST MIFFLIN,['Jeremy A. Stillwagon'],1,['Democratic']
490,1,mayor,,,WEST VIEW,['John R. Henry'],1,['Democratic']
491,1,tax collector,,,WEST VIEW,['Rita A. Schwarzmeier'],1,['Democratic']
493,1,constable,,,WEST VIEW,"['William Crowell, Jr.']",1,['Democratic']
495,1,tax collector,,,WHITAKER,['Patricia A. Pasquantonio'],1,['Democratic']
496,4,member of council,,,WHITAKER,"['Albert E. Race', 'Michael N. Bogesdorfer', 'David Funk', 'Kenneth Seech']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
497,1,constable,,,WHITAKER,['Richard Pasquantonio'],1,['Democratic']
499,1,tax collector,,,WHITEHALL,['Kelly Sgattoni'],1,['Democratic']
502,1,mayor,,,WHITE OAK,['Ina Jean Marton'],1,['Republican']
503,1,tax collector,,,WHITE OAK,['Lisa Pitchford'],1,['Democratic']
506,1,tax collector,,,WILKINS,['Michelle Criner'],1,['Democratic']
511,1,tax collector,,,WILKINSBURG,['Lisa Ciccarelli'],1,['Democratic']
515,1,mayor,,,WILMERDING,['Gregory M. Jakub'],1,['Democratic']
516,1,tax collector,,,WILMERDING,['Frank J. Tylka'],1,['Democratic']
